0, 1713966450389631, 1713966450389913, 282
1, 1713966450407339, 1713966450407577, 238
2, 1713966450421793, 1713966450422850, 1057
3, 1713966450436955, 1713966450437271, 316
4, 1713966450451577, 1713966450451992, 415
5, 1713966450466735, 1713966450466886, 151
6, 1713966450481130, 1713966450481441, 311
7, 1713966450495773, 1713966450496083, 310
8, 1713966450510899, 1713966450511209, 310
9, 1713966450525540, 1713966450526782, 1242
10, 1713966450539730, 1713966450540788, 1058
11, 1713966450554384, 1713966450554628, 244
12, 1713966450569003, 1713966450570064, 1061
13, 1713966450583613, 1713966450584754, 1141
14, 1713966450598313, 1713966450598556, 243
15, 1713966450613063, 1713966450613372, 309
16, 1713966450627688, 1713966450628110, 422
17, 1713966450642844, 1713966450643155, 311
18, 1713966450658002, 1713966450658244, 242
19, 1713966450672396, 1713966450672717, 321
20, 1713966450687025, 1713966450687265, 240
21, 1713966450701404, 1713966450701645, 241
22, 1713966450715809, 1713966450715955, 146
23, 1713966450730185, 1713966450731352, 1167
24, 1713966450742207, 1713966450745362, 3155
25, 1713966450754131, 1713966450759728, 5597
26, 1713966450771047, 1713966450774619, 3572
27, 1713966450782971, 1713966450788202, 5231
28, 1713966450796690, 1713966450802357, 5667
29, 1713966450810761, 1713966450818175, 7414
30, 1713966450822691, 1713966450827654, 4963
31, 1713966450846764, 1713966450846908, 144
32, 1713966450860527, 1713966450860672, 145
33, 1713966450874253, 1713966450874397, 144
34, 1713966450887952, 1713966450888050, 98
35, 1713966450901110, 1713966450903356, 2246
36, 1713966450913068, 1713966450919467, 6399
37, 1713966450927857, 1713966450934769, 6912
38, 1713966450942734, 1713966450952460, 9726
39, 1713966450963630, 1713966450965891, 2261
40, 1713966450975582, 1713966450980722, 5140
41, 1713966450992880, 1713966450995632, 2752
42, 1713966451007116, 1713966451009019, 1903
43, 1713966451019074, 1713966451023484, 4410
44, 1713966451036173, 1713966451036317, 144
45, 1713966451050812, 1713966451051053, 241
46, 1713966451065192, 1713966451065432, 240
47, 1713966451079600, 1713966451080778, 1178
48, 1713966451094083, 1713966451095237, 1154
49, 1713966451108693, 1713966451109052, 359
50, 1713966451123850, 1713966451124159, 309
51, 1713966451138513, 1713966451138658, 145
52, 1713966451153891, 1713966451154198, 307
53, 1713966451169045, 1713966451169353, 308
54, 1713966451183668, 1713966451184274, 606
55, 1713966451198306, 1713966451198613, 307
56, 1713966451213430, 1713966451213576, 146
57, 1713966451227819, 1713966451229058, 1239
58, 1713966451242419, 1713966451243683, 1264
59, 1713966451254442, 1713966451257127, 2685
60, 1713966451266364, 1713966451272864, 6500
61, 1713966451278298, 1713966451283434, 5136
62, 1713966451292692, 1713966451294078, 1386
63, 1713966451304640, 1713966451320764, 16124
64, 1713966451323520, 1713966451334095, 10575
65, 1713966451343597, 1713966451344663, 1066
66, 1713966451360444, 1713966451361920, 1476
67, 1713966451372452, 1713966451376535, 4083
68, 1713966451384404, 1713966451389185, 4781
69, 1713966451398759, 1713966451404420, 5661
70, 1713966451415987, 1713966451417312, 1325
71, 1713966451430749, 1713966451431609, 860
72, 1713966451446188, 1713966451447471, 1283
73, 1713966451459859, 1713966451461887, 2028
74, 1713966451471803, 1713966451476081, 4278
75, 1713966451488835, 1713966451490338, 1503
76, 1713966451500856, 1713966451503211, 2355
77, 1713966451512778, 1713966451519041, 6263
78, 1713966451526493, 1713966451528166, 1673
79, 1713966451540189, 1713966451547946, 7757
80, 1713966451552116, 1713966451561352, 9236
81, 1713966451564029, 1713966451576592, 12563
82, 1713966451575975, 1713966451589706, 13731
83, 1713966451589591, 1713966451607695, 18104
84, 1713966451606808, 1713966451627994, 21186
85, 1713966451627583, 1713966451639162, 11579
86, 1713966451644056, 1713966451652072, 8016
87, 1713966451664126, 1713966451666108, 1982
88, 1713966451678884, 1713966451680301, 1417
89, 1713966451694405, 1713966451694567, 162
90, 1713966451708785, 1713966451709028, 243
91, 1713966451723154, 1713966451724311, 1157
92, 1713966451747925, 1713966451749032, 1107
93, 1713966451765196, 1713966451767286, 2090
94, 1713966451780048, 1713966451781090, 1042
95, 1713966451794564, 1713966451795668, 1104
96, 1713966451809107, 1713966451811114, 2007
97, 1713966451822820, 1713966451829022, 6202
98, 1713966451834756, 1713966451842730, 7974
99, 1713966451854903, 1713966451856805, 1902
100, 1713966451866860, 1713966451872049, 5189
101, 1713966451883035, 1713966451885360, 2325
102, 1713966451895027, 1713966451900015, 4988
103, 1713966451914772, 1713966451915704, 932
104, 1713966451926850, 1713966451929018, 2168
105, 1713966451938840, 1713966451944557, 5717
106, 1713966451952601, 1713966452094922, 142321
107, 1713966452107392, 1713966452109368, 1976
108, 1713966452123179, 1713966452124513, 1334
109, 1713966452135171, 1713966452137458, 2287
110, 1713966452147090, 1713966452151771, 4681
111, 1713966452164264, 1713966452165167, 903
112, 1713966452176269, 1713966452179811, 3542
113, 1713966452188188, 1713966452192514, 4326
114, 1713966452200120, 1713966452209643, 9523
115, 1713966452219653, 1713966452220459, 806
116, 1713966452236106, 1713966452237454, 1348
117, 1713966452250664, 1713966452251926, 1262
118, 1713966452265233, 1713966452265378, 145
119, 1713966452279038, 1713966452279183, 145
120, 1713966452292872, 1713966452293179, 307
121, 1713966452307448, 1713966452307755, 307
122, 1713966452322048, 1713966452322353, 305
123, 1713966452336648, 1713966452336966, 318
124, 1713966452351261, 1713966452352501, 1240
125, 1713966452364689, 1713966452365469, 780
126, 1713966452379178, 1713966452381158, 1980
127, 1713966452392841, 1713966452395173, 2332
128, 1713966452404767, 1713966452409946, 5179
129, 1713966452416694, 1713966452421646, 4952
